,StartDate,EndDate,Date,const,szgrowth(-1),hpgrowth(-1),const-p,szgrowth(-1)-p,hpgrowth(-1)-p,rsquared,rsquared_adj
28,2008-06-01,2009-11-01,2009-03-01,0.034805663090221844,0.011473663722835889,0.9472711583061878,0.4474619642445936,0.003095508095770487,1.1504645261020589e-07,0.8618349410267766,0.8434129331636802
29,2008-07-01,2009-12-01,2009-04-01,0.03882129846710044,0.011669331393131688,0.9715023540037176,0.4081374895835075,0.002850734651657527,5.016572049104946e-08,0.8783465445549073,0.862126083828895
30,2008-08-01,2010-01-01,2009-05-01,0.024143307350575578,0.014132759503239778,1.0619111038607627,0.6563638930425135,0.003434237283571985,2.9785792672658797e-08,0.8862470358909137,0.8710799740097022
31,2008-09-01,2010-02-01,2009-06-01,0.03282482181456608,0.014503776504231049,1.0316181897225767,0.5531127745684922,0.0025830582834447478,5.984376107701151e-09,0.9036629905066551,0.8908180559075425
32,2008-10-01,2010-03-01,2009-07-01,0.03278015324326742,0.014161383177300962,0.9019640662699522,0.6836930549981644,0.030725509150167356,9.474334480987265e-07,0.8107540896246235,0.7855213015745732
33,2008-11-01,2010-04-01,2009-08-01,0.06252169420084189,0.013484389425148006,0.9014827340883018,0.4644334157582345,0.045028927935643843,1.3628201493635728e-06,0.800169863003485,0.773525844737283
34,2008-12-01,2010-05-01,2009-09-01,0.06593473436109487,0.013236447869155525,0.883338749107441,0.5172340999535571,0.12645126191983452,5.2986576322932405e-06,0.7666496313640772,0.7355362488792874
35,2009-01-01,2010-06-01,2009-10-01,0.09162115519160807,0.015393156617662438,0.8333707999711848,0.37058582956152897,0.057336730031480654,1.3304039949630933e-05,0.7294087138685172,0.6933298757176529
36,2009-02-01,2010-07-01,2009-11-01,0.07410012252307187,0.016228599728407612,0.8538518503200985,0.5178830598047222,0.048160336449287015,4.60111571961193e-05,0.6821333957501725,0.6397511818501955
37,2009-03-01,2010-08-01,2009-12-01,0.09705540670733825,0.015603669712377824,0.8198280625801656,0.43263878163264113,0.053862890354408034,0.00014504172026290823,0.6297219078298956,0.5803514955405483
38,2009-04-01,2010-09-01,2010-01-01,0.20026859819831555,0.013236604157722941,0.7021624214159657,0.1533107860011131,0.10384945779592658,0.0014595122762843533,0.5018125019291004,0.43538750218631384
39,2009-05-01,2010-10-01,2010-02-01,0.20403253028470145,0.01330302144766643,0.6974232268171432,0.18058964289675927,0.10490834257111367,0.0028045509026858356,0.46326593233225355,0.391701389976554
40,2009-06-01,2010-11-01,2010-03-01,0.22130516531382155,0.01108937896555794,0.6616675014989168,0.18070878137476132,0.1638146993938357,0.005987605997493415,0.40888185170491476,0.33006609859890346
41,2009-07-01,2010-12-01,2010-04-01,0.22342017181617896,0.010012222319783895,0.6622835800165605,0.17986853586470797,0.19850630310065875,0.006330845028125409,0.40519025391591856,0.3258822877713744
42,2009-08-01,2011-01-01,2010-05-01,0.23028907022672596,0.011610618272475462,0.6719340696302716,0.15979682423780164,0.15326953594299228,0.00535000133443072,0.4198702948161943,0.3425196674583536
43,2009-09-01,2011-02-01,2010-06-01,0.21593134842645262,0.009162428955612013,0.6536194901224134,0.19297316333139916,0.3070176854082777,0.00737119060496638,0.3901467434978503,0.3088329759642303
44,2009-10-01,2011-03-01,2010-07-01,0.17269697951305812,0.008433351429553437,0.6898381705084948,0.3023753911895476,0.47106328367785055,0.0064135928028256645,0.40050389681614207,0.3205710830582944
45,2009-11-01,2011-04-01,2010-08-01,0.16648576533658554,0.009378201046582598,0.7065419710634431,0.27965228065964726,0.42404757946900273,0.0036224477059359356,0.44150181571301395,0.3670353911414158
46,2009-12-01,2011-05-01,2010-09-01,0.13022846818225609,0.008316088491899742,0.7366746993891979,0.37020831186735226,0.493849624554192,0.002106159161116076,0.4786080889481672,0.40908916747458945
47,2010-01-01,2011-06-01,2010-10-01,0.1131795723686969,0.006679018824199363,0.7351806191296592,0.38986202725023267,0.5781546608124845,0.0013280411080624432,0.5082250702842153,0.44265507965544393
48,2010-02-01,2011-07-01,2010-11-01,0.13146500148218435,0.0015574890382448565,0.6258881599347133,0.19251140143331158,0.873521316004978,0.0008100275803722465,0.547658907380988,0.48734676169845303
