ADS,ALV,BAS,BAYN,BEI,BMW,CBK,CONS,DAI,DB1,DBK,DPW,DTE,FME,FRE,HEI,HEN3,IFX,LHA,LIN,LXS,MUV2,RWE,SAP,SDF,SIE,TKA,VOW3,^GDAXI
170.85,175.05,85.89,121.8,96.42,83.6,9.36,197.7,65.45,95.91,15.19,32.51,16.78,87.29,78.33,86.83,128,19.67,18.5,176,66.81,178.15,19.69,95.2,23.3,124.45,24.19,132.25,12774.26
172,175.85,86.55,121.8,97.25,83.65,9.42,197.4,65.57,97.65,15.22,32.67,16.79,88.22,79.07,86.73,128.7,19.8,18.59,176.75,67,178.75,19.85,94.85,23.5,125.15,23.69,131.95,12814.79
174.75,176.2,87.12,123.3,97.51,84,9.59,198.35,65.71,97.3,15.38,32.85,16.81,88.59,79.65,86.9,128.9,20.02,18.67,177.15,67.98,178.75,20.16,95.46,23.95,126.5,24.15,131.2,12888.95
174.05,174.45,85.03,122.8,97.01,83.36,9.45,197.2,65.2,95.38,15,32.38,16.69,88.38,79.34,86.25,128.2,19.77,18.59,175.25,66.93,176.55,20.16,94.4,23.35,124.55,23.55,131.2,12752.73
173.65,173,84.93,121.6,95.78,83.42,9.34,196.15,65.25,94.8,15.12,32.47,16.4,88.03,78.33,85.52,125.95,19.3,18.58,176.85,67.56,176.05,19.77,93.26,23.41,125.7,23.32,131.35,12691.81
177.6,173.95,86.18,121.45,96.31,84.11,9.3,198.85,65.71,94.01,15.27,32.87,16.8,88.9,78.68,86.48,126.5,19.63,18.85,177.95,69.15,178.4,19.8,94.25,23.91,126.75,23.87,132.4,12805.95
175.7,173.25,86.34,119.9,94.78,85.06,9.44,198.7,65.9,93.65,15.56,32.06,16.88,87.88,77.79,86.5,124.65,19.63,18.88,178.1,69.65,177.4,19.56,93.59,24.08,126.75,24.14,135.25,12764.98
172.4,173.6,86.02,118.45,95.44,84.9,9.38,198.15,65.64,91.98,15.46,31.76,16.95,86.6,76.86,85.1,125.1,19.4,18.33,177.7,69.78,177.7,19.45,92.56,24.26,126.25,23.95,134.85,12690.44
170,173.85,86.59,119.05,96.29,84.43,9.48,198.7,65.46,92.77,15.81,31.91,17.13,86.83,77.76,84.44,125.7,20.39,18.6,179.3,70.47,177.3,19.73,96,23.32,129.4,24.27,132.6,12815.72
168.75,172.05,84.26,118.75,95.58,84.11,9.46,197.3,65.16,93.55,15.63,31.94,17.09,85.43,76.76,81.88,124.7,20.15,18.23,176.9,68.05,175.85,19.99,95.81,22.57,127.95,23.79,132.25,12713.58
171.3,170.55,83.9,117.75,96.36,84.6,9.4,198.4,65.17,93.31,15.48,32.08,17.31,84.86,76.07,81.59,125.75,20.31,17.97,175.85,68.25,174,19.55,95.26,22.9,126.9,22.95,133.2,12672.49
168.75,171.1,84.39,118.9,96.06,84.83,9.42,199.45,65.53,93.13,15.33,32.35,17.23,85.99,76.18,82.28,126.4,20.12,18,173.85,68.05,174.5,18.52,95.65,23.15,127.5,23.03,134.95,12690.12
171.5,173.35,85.31,121.6,96.6,85.93,9.35,202,65.84,93.61,15.59,32.63,17.38,86.54,76.81,83.74,127.25,20.09,17.78,176.5,68.17,177.4,18.16,96.1,23.07,129.5,23.51,137.55,12690.12
171.5,173.35,85.31,121.6,96.6,85.93,9.35,202,65.84,93.61,15.59,32.63,17.38,86.54,76.81,83.74,127.25,20.09,17.78,176.5,68.17,177.4,18.16,96.1,23.07,129.5,23.51,137.55,12822.94
171,171.45,83.83,119.05,95.92,84.92,9.41,200.1,65.07,91.83,15.61,32.33,17.28,85.37,76.39,83.32,125.25,19.77,17.45,173.05,66.45,176.9,18.21,95.32,22.9,126.85,23.27,135.75,12664.92
170.25,170.9,83.84,118.1,95.6,83.29,9.39,198,64.61,92.48,15.57,32.51,17.73,85.16,76.21,82.88,124.95,19.69,17.3,169.95,66.43,175.75,18.08,95.44,22.77,127.05,23.61,133.75,12615.06
173.8,170.85,84.17,116.5,94.57,84.24,9.26,200.25,65.2,92.11,16.14,31.82,17.78,82.9,75.5,83.21,124.95,19.78,17.19,168.65,67.58,173.65,17.65,95.1,23.05,126.4,23.97,136.6,12598.68
172.8,171.6,84.7,116.7,94.57,84.56,9.35,198.8,65.44,91.06,16.43,31.58,17.94,83.2,76.29,82.56,124.4,19.65,17.02,171.35,67.48,174.15,17.53,95.22,23.25,126.6,24.15,137.3,12628.95
172.15,171.05,83.86,116.7,94.44,84.31,9.38,199.2,65.38,90.49,16.49,31.58,17.91,83.58,76.34,82.65,124.55,19.67,17.09,171.5,63.26,172.6,17.54,94.82,23.17,126.05,24.03,137.95,12602.18
171.05,171.2,84.28,116.75,94.31,85.24,9.53,200.5,65.79,90.51,16.85,31.52,17.85,82.5,75.86,82.72,124,19.73,17.06,172.1,63.51,172.95,17.46,95.04,23.17,125.95,23.96,138.75,12621.72
169.85,171.35,84.6,117.65,94.02,85.77,9.61,201.15,66.1,91.08,16.95,31.64,17.84,81.58,76.13,83.26,123.8,19.56,16.65,170.7,64.04,173.05,17.5,94.93,23.25,126.95,23.42,138.5,12642.87
