time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20171026T153020,55.23,200,200,55.28,100,100
20171026T153021,55.26,200,200,55.3,200,200
20171026T153023,55.26,1400,1400,55.3,200,200
20171026T153024,55.27,200,200,55.3,200,200
20171026T153025,55.27,400,400,55.3,300,300
20171026T153026,55.29,600,600,55.31,600,600
20171026T153027,55.3,1000,1000,55.32,300,300
20171026T153029,55.31,900,900,55.34,300,300
20171026T153030,55.31,2700,2700,55.35,1300,1300
20171026T153032,55.32,1700,1700,55.35,600,600
20171026T153034,55.33,1000,1000,55.37,100,100
20171026T153035,55.35,1100,1100,55.38,400,400
20171026T153036,55.35,1600,1600,55.39,300,300
20171026T153038,55.37,1500,1500,55.4,100,100
20171026T153040,55.34,900,900,55.35,200,200
20171026T153041,55.37,400,400,55.39,100,100
20171026T153042,55.39,900,900,55.42,100,100
20171026T153043,55.42,100,100,55.44,1100,1100
20171026T153044,55.43,400,400,55.47,300,300
20171026T153045,55.43,500,500,55.46,200,200
20171026T153046,55.44,200,200,55.46,100,100
20171026T153047,55.46,700,700,55.48,500,500
20171026T153049,55.46,700,700,55.48,200,200
20171026T153050,55.46,600,600,55.47,100,100
20171026T153051,55.44,100,100,55.47,200,200
20171026T153051,55.41,200,200,55.47,200,200
20171026T153051,55.43,200,200,55.47,200,200
20171026T153051,55.41,100,100,55.46,500,500
20171026T153051,55.39,600,600,55.41,100,100
20171026T153052,55.39,600,600,55.43,100,100
20171026T153053,55.4,1000,1000,55.44,200,200
20171026T153054,55.4,1500,1500,55.44,200,200
20171026T153056,55.47,100,100,55.49,200,200
20171026T153058,55.47,700,700,55.48,400,400
20171026T153100,55.47,1400,1400,55.49,200,200
20171026T153101,55.47,2100,2100,55.49,700,700
20171026T153102,55.47,600,600,55.48,400,400
20171026T153103,55.47,100,100,55.48,300,300
20171026T153104,55.45,1200,1200,55.48,100,100
20171026T153105,55.48,300,300,55.48,100,100
20171026T153105,55.48,600,600,55.5,2400,2400
20171026T153105,55.48,600,600,55.49,100,100
20171026T153106,55.48,1300,1300,55.5,2400,2400
20171026T153108,55.46,500,500,55.47,100,100
20171026T153109,55.47,800,800,55.48,200,200
20171026T153110,55.47,500,500,55.48,100,100
20171026T153111,55.47,800,800,55.48,100,100
20171026T153112,55.48,900,900,55.5,2200,2200
20171026T153112,55.52,300,300,55.53,800,800
20171026T153113,55.55,600,600,55.58,300,300
20171026T153115,55.6,600,600,55.62,500,500
20171026T153116,55.62,300,300,55.65,200,200
20171026T153117,55.64,700,700,55.68,100,100
20171026T153118,55.64,200,200,55.68,300,300
20171026T153119,55.66,800,800,55.69,1300,1300
20171026T153121,55.65,1100,1100,55.66,300,300
20171026T153122,55.66,600,600,55.67,1000,1000
20171026T153122,55.66,500,500,55.67,1000,1000
20171026T153124,55.65,1400,1400,55.66,100,100
20171026T153126,55.63,1500,1500,55.66,400,400
20171026T153127,55.65,500,500,55.67,100,100
20171026T153128,55.65,500,500,55.66,200,200
20171026T153128,55.62,200,200,55.66,400,400
20171026T153128,55.62,200,200,55.66,700,700
20171026T153129,55.6,600,600,55.65,600,600
20171026T153130,55.61,700,700,55.65,900,900
20171026T153132,55.61,700,700,55.65,600,600
20171026T153134,55.62,200,200,55.64,200,200
20171026T153134,55.61,400,400,55.62,100,100
20171026T153137,55.61,400,400,55.63,400,400
20171026T153138,55.61,1100,1100,55.64,100,100
20171026T153139,55.61,1400,1400,55.64,100,100
20171026T153141,55.65,800,800,55.69,600,600
20171026T153142,55.65,700,700,55.69,600,600
20171026T153144,55.65,700,700,55.69,900,900
20171026T153146,55.66,300,300,55.69,1000,1000
20171026T153146,55.65,500,500,55.67,100,100
20171026T153148,55.67,600,600,55.69,600,600
20171026T153150,55.67,500,500,55.69,800,800
20171026T153151,55.69,100,100,55.7,100,100
20171026T153151,55.69,600,600,55.71,100,100
20171026T153154,55.68,900,900,55.71,100,100
20171026T153155,55.69,400,400,55.71,100,100
20171026T153156,55.69,500,500,55.71,200,200
20171026T153157,55.69,600,600,55.71,100,100
20171026T153159,55.7,400,400,55.71,1000,1000
20171026T153159,55.69,500,500,55.7,500,500
20171026T153200,55.68,200,200,55.69,300,300
20171026T153200,55.68,200,200,55.69,500,500
20171026T153201,55.67,200,200,55.69,600,600
20171026T153203,55.65,200,200,55.67,600,600
20171026T153204,55.65,200,200,55.68,600,600
20171026T153205,55.65,200,200,55.68,700,700
20171026T153207,55.65,200,200,55.68,800,800
20171026T153210,55.64,300,300,55.65,300,300
20171026T153211,55.57,100,100,55.6,100,100
20171026T153212,55.57,100,100,55.6,600,600
20171026T153214,55.55,200,200,55.58,400,400
20171026T153216,55.55,200,200,55.58,1000,1000
20171026T153216,55.55,100,100,55.56,800,800
20171026T153217,55.56,100,100,55.57,300,300
20171026T153219,55.56,300,300,55.57,100,100
