,StartDate,EndDate,Date,const,szgrowth(-1)+,szgrowth(-1),const-p,szgrowth(-1)+p,szgrowth(-1)p,rsquared,rsquared_adj
42,2009-08-01,2011-01-01,2010-05-01,0.7291510992279867,-0.011125143219549744,0.008672122434801428,8.870846535729375e-05,0.7273236579327448,0.6092227117116479,0.018856989969208815,-0.11196207803489666
43,2009-09-01,2011-02-01,2010-06-01,0.7245496690339277,-0.021529810278000827,0.008548521607923923,6.470881460064759e-05,0.5451170556451694,0.6083314859832596,0.025250192453738385,-0.1047164485524299
44,2009-10-01,2011-03-01,2010-07-01,0.7240715219535923,-0.035102477139202684,0.01724192635188066,0.00021966981568831553,0.47200431757353,0.5516715626102229,0.035295565618148284,-0.09333169229943183
45,2009-11-01,2011-04-01,2010-08-01,0.672217196410851,-0.021572065715630778,0.010654263386289718,0.0004115595515695687,0.6586430452164127,0.7172584132343331,0.013453636738426367,-0.11808587836311668
46,2009-12-01,2011-05-01,2010-09-01,0.6104163804394167,-0.010604941072860197,0.0036121244200376587,0.0008130787518888503,0.8317955317853214,0.9041844552285189,0.003902731821294858,-0.12891023726919904
47,2010-01-01,2011-06-01,2010-10-01,0.5864695597456688,-0.02153955071296714,0.008478795970649643,0.0011990186683696288,0.6715874997815154,0.7762754988799514,0.013322718973221015,-0.11823425183034941
48,2010-02-01,2011-07-01,2010-11-01,0.46007421861192765,0.0008659534326441176,-0.008329013160479667,0.0016392603509077597,0.9833454245663653,0.7357174201567664,0.021599941993063365,-0.10885339907452818
49,2010-03-01,2011-08-01,2010-12-01,0.4479302215047168,-0.023715891958939705,0.017688947878289164,0.0002631295998218658,0.49737709922596984,0.4215361777244907,0.043549508019527505,-0.08397722424453558
50,2010-04-01,2011-09-01,2011-01-01,0.42276526265345665,-0.023907578841402304,0.01957553700909115,0.0007826840116604992,0.5110094207983409,0.3918702930057981,0.0502120538546692,-0.07642633896470818
51,2010-05-01,2011-10-01,2011-02-01,0.37646524475789545,-0.02235108216381146,0.019528757394908974,0.0014224173783549804,0.49712233323240673,0.33255619533922176,0.06653566622943186,-0.05792624493997711
52,2010-06-01,2011-11-01,2011-03-01,0.3530860929957909,-0.03378352465699319,0.025882309566509568,0.00230614741589369,0.32665479118844476,0.23037887464547196,0.0947961703571969,-0.025897673595176807
53,2010-07-01,2011-12-01,2011-04-01,0.36040929146747414,-0.049387960670093434,0.040644672673457054,0.0028588918745893507,0.20538851201815825,0.11728133819904457,0.15868063091078277,0.046504715032220534
54,2010-08-01,2012-01-01,2011-05-01,0.36430903828574157,-0.05881843269862341,0.04962672436363118,0.003030515446428931,0.15345433213415371,0.07752413669574945,0.19860032128765515,0.09174703079267588
55,2010-09-01,2012-02-01,2011-06-01,0.3375922855736499,-0.05524145684080782,0.044881237356796715,0.006998427986817705,0.2290777749330306,0.12488302781361482,0.15288660094270567,0.03993814773506643
56,2010-10-01,2012-03-01,2011-07-01,0.28593271285186467,-0.04755384231665733,0.035705353080302996,0.026561512284906334,0.31631861986537063,0.23245854625708867,0.09426812469657198,-0.026496125343885124
57,2010-11-01,2012-04-01,2011-08-01,0.23245743899240764,-0.03536836010754626,0.02980275301029892,0.06726762436054497,0.43406108253169695,0.2800140367569106,0.08570986470222208,-0.03619548667081496
58,2010-12-01,2012-05-01,2011-09-01,0.36378388991640376,-0.1328074926104739,0.0524204058222551,0.003260430288015012,0.011658819972580602,0.034825301122096634,0.3567037495082409,0.2709309161093397
59,2011-01-01,2012-06-01,2011-10-01,0.30799063459132414,-0.12591853424781593,0.057050369705850396,0.0008655618809546765,0.002106538724889829,0.004378230568439478,0.48124645144130884,0.4120793116334833
60,2011-02-01,2012-07-01,2011-11-01,0.21243434502042102,-0.08691068711889266,0.03777081165585676,0.002130319429796064,0.0036313255972685084,0.00741681774087983,0.4426944214913331,0.3683870110235109
