,StartDate,EndDate,Date,const,szgrowth(-1)+,szgrowth(-1),hpgrowth(-1),const-p,szgrowth(-1)+p,szgrowth(-1)p,hpgrowth(-1)-p,rsquared,rsquared_adj
23,2008-01-01,2009-06-01,2008-10-01,0.11226676417801681,-0.013636517894194046,0.009324575711085317,0.8935083212141015,0.4095005017753073,0.6144260450185357,0.3562252544743457,0.00010888425201547847,0.6785936457468991,0.609720855549806
24,2008-02-01,2009-07-01,2008-11-01,0.09725931556102169,-0.01175466866690826,0.008735822783991772,0.9121980197992954,0.4586378163724808,0.6380551903902725,0.3800443327985933,3.5076789522321945e-05,0.7175039161243615,0.6569690410081532
25,2008-03-01,2009-08-01,2008-12-01,0.07884215489068715,-0.008138633137156577,0.009683105260116499,0.9263938116131989,0.5308416694991702,0.7216948713128979,0.3357505343038286,1.6720023058526245e-05,0.7560727047588802,0.7038025700643546
26,2008-04-01,2009-09-01,2009-01-01,0.11662181345375147,-0.013715107039401878,0.010601047388218852,0.9825007017627577,0.41087553424228695,0.5874633914074721,0.31198542271531554,8.534117807150565e-06,0.7847351517390112,0.7386069699687994
27,2008-05-01,2009-10-01,2009-02-01,0.08840948061055567,-0.01110532680754166,0.010697102511508851,0.9387941004490504,0.5031244307842266,0.6424905735537657,0.2952396481434241,3.864118623638031e-06,0.8004708540561771,0.7577146084967865
28,2008-06-01,2009-11-01,2009-03-01,0.11521163731797385,-0.013979990084225992,0.012902115262892415,0.9793870034414072,0.3944186368477156,0.5649286914450727,0.21564934441972122,1.8702251253366364e-06,0.8208522593733131,0.7824634578104516
29,2008-07-01,2009-12-01,2009-04-01,0.12022524295042408,-0.014864677703656966,0.013497183697110204,0.9938192119883922,0.39158783327958036,0.5492119039853123,0.19201103856593912,7.10571633000188e-07,0.845006788238088,0.8117939571462497
30,2008-08-01,2010-01-01,2009-05-01,0.13915953698415987,-0.01793630135629811,0.01418842808760418,1.0173846132607145,0.3013188794765986,0.45177737722285416,0.18409027043077825,1.6619041136510812e-07,0.8699619049223004,0.8420965988342219
31,2008-09-01,2010-02-01,2009-06-01,0.15254476824371133,-0.01827756123483048,0.016448284155592623,0.93613524071398,0.3240122152244518,0.4929211852130967,0.16930961718145504,3.373767102027689e-07,0.8544364700810605,0.8232442850984306
32,2008-10-01,2010-03-01,2009-07-01,0.09969086567240128,-0.01186691580248049,0.015251444427310338,0.925194340277349,0.5067727063509957,0.6442972098998143,0.19989170234160228,3.844117216630012e-07,0.8516467542320377,0.8198567729960459
33,2008-11-01,2010-04-01,2009-08-01,0.17130581405496106,-0.021891152972919964,0.018269021105263974,0.9267105374483728,0.27647373860596747,0.4006811284690601,0.12569527545745185,4.2737373947807276e-07,0.8524743500749481,0.8208617108052941
34,2008-12-01,2010-05-01,2009-09-01,0.11595569227731375,-0.011026606722519892,0.014987963528222724,0.8799857045932127,0.5034560551827922,0.7336175587309872,0.4053548119886805,4.478654501221959e-06,0.7926905120803348,0.7482670503832637
35,2009-01-01,2010-06-01,2009-10-01,0.15363167412475298,-0.008441090893519241,0.017007178153641635,0.8216175524111151,0.3082911162395474,0.7630402000801867,0.26734766247336217,2.60417103339068e-06,0.8036109144589306,0.7615275389858444
36,2009-02-01,2010-07-01,2009-11-01,0.13853748403244237,-0.008338601664302212,0.018114630338007913,0.829364677356849,0.4252741834707646,0.7775376446388408,0.24515670748270374,1.2482337930055314e-05,0.7591405791238715,0.7075278460789868
37,2009-03-01,2010-08-01,2009-12-01,0.2073234890097551,-0.006977757055891057,0.017780114308577448,0.7429372855473123,0.21754742833885718,0.7963943972379575,0.21667334038654076,4.045897754415075e-05,0.71633150290654,0.6555453963865129
38,2009-04-01,2010-09-01,2010-01-01,0.22429324198077527,-0.013037229403383942,0.020210175185231632,0.7622698251413444,0.2048886853423245,0.6146520229785719,0.1563463699181407,0.00017826644419770873,0.6574310185351959,0.5840233796498808
39,2009-05-01,2010-10-01,2010-02-01,0.22570218766846198,-0.005575142518396206,0.018221815211358315,0.72843807905335,0.1731934329436609,0.8274316572651097,0.18337884383757072,0.0003676997133233997,0.6272657996151133,0.5473941852469233
40,2009-06-01,2010-11-01,2010-03-01,0.1637521708337169,-0.009971950744843736,0.017725289531754975,0.7933676498228397,0.350586948632037,0.6874754527612561,0.1952668098279714,0.00028068499979303456,0.635705734102397,0.5576426771243392
41,2009-07-01,2010-12-01,2010-04-01,0.1448003027648677,-0.00873820109856581,0.01792105905247088,0.8054610029565601,0.39412659160164853,0.7240671970410806,0.1953906878574029,0.0002270032403039499,0.6501970408111423,0.5752392638421013
42,2009-08-01,2011-01-01,2010-05-01,0.21117569989506432,-0.015270208419216856,0.02063096520777487,0.7695099628090508,0.1969333961379191,0.5515399401946768,0.14472647595353574,0.000372164811112351,0.6249099744449067,0.5445335403973868
43,2009-09-01,2011-02-01,2010-06-01,0.17633428961790035,-0.009646743821368094,0.017956724490718622,0.7663631824041119,0.293633610275843,0.7446847177622695,0.212276374323427,0.0005453714348517407,0.5979904564157752,0.5118455542191556
44,2009-10-01,2011-03-01,2010-07-01,0.2951264137545946,-0.07137130594953474,0.06328993322983327,0.7649531176831282,0.030470291395128045,0.023264887662775107,0.002002867427754104,2.8845917040898126e-05,0.7790460704105616,0.7316987997842535
45,2009-11-01,2011-04-01,2010-08-01,0.24478152161345335,-0.06389796426678951,0.06055333343606448,0.8036068633974589,0.05912919805394332,0.038625664519598944,0.003097302926920578,2.5742230984874848e-05,0.7703719356352876,0.7211659218428492
46,2009-12-01,2011-05-01,2010-09-01,0.2021941589166396,-0.06038079943745594,0.05658266720192818,0.8138465427206781,0.09687760559920942,0.04920149128424497,0.004985288865034529,2.5148640568729882e-05,0.7590157930271698,0.7073763201044205
47,2010-01-01,2011-06-01,2010-10-01,0.23110664252219046,-0.06295167463753536,0.053925565591546085,0.7580072205851583,0.04964509677490417,0.036007769302399455,0.004730951783993635,3.98862923464411e-05,0.7487211842623511,0.6948757237471407
48,2010-02-01,2011-07-01,2010-11-01,0.21221772501285377,-0.050325214043189424,0.04373996049472094,0.6717122269835888,0.03493277102909038,0.058351282488818476,0.010750996882967021,0.00011933011303624235,0.6847396000412197,0.6171838000500525
49,2010-03-01,2011-08-01,2010-12-01,0.22384516125342008,-0.05391415476092487,0.0483634640928617,0.620551521086262,0.03308588680851899,0.048460149411554396,0.008018522678389107,0.0009939783533638973,0.6535208767817869,0.5792753503778842
50,2010-04-01,2011-09-01,2011-01-01,0.2245944682624067,-0.0544023097282542,0.048684252838127474,0.6293251598229503,0.02737238594054621,0.0478275667699948,0.007821735454051678,0.0013232690319336822,0.6395376235382009,0.5622956857249582
