日期,新建商品住宅销售价格指数(上月=100),城市,类别123,类别0123,date,销售价格变动,hp
2015年9月,100.0,泉州,2,2,2015-09-01,0.0,1.2267412244107758
2015年8月,100.0,泉州,2,2,2015-08-01,0.0,1.2267412244107758
2015年7月,99.9,泉州,2,2,2015-07-01,-0.0009999999999998899,1.2267412244107758
2015年6月,99.8,泉州,2,2,2015-06-01,-0.0020000000000000018,1.2279691936043802
2015年5月,99.9,泉州,2,2,2015-05-01,-0.0009999999999998899,1.2304300537118038
2015年4月,99.8,泉州,2,2,2015-04-01,-0.0020000000000000018,1.231661715427231
2015年3月,99.9,泉州,2,2,2015-03-01,-0.0009999999999998899,1.2341299753779869
2015年2月,99.4,泉州,2,2,2015-02-01,-0.005999999999999894,1.2353653407187055
2015年1月,98.3,泉州,2,2,2015-01-01,-0.017000000000000015,1.2428222743648947
2014年12月,99.5,泉州,2,2,2014-12-01,-0.0050000000000000044,1.2643156402491298
2014年11月,98.8,泉州,2,2,2014-11-01,-0.01200000000000001,1.2706689851750048
2014年10月,99.2,泉州,2,2,2014-10-01,-0.008000000000000007,1.286102211715592
2014年9月,98.6,泉州,2,2,2014-09-01,-0.014000000000000012,1.2964740037455564
2014年8月,98.9,泉州,2,2,2014-08-01,-0.010999999999999899,1.3148823567399153
2014年7月,98.7,泉州,2,2,2014-07-01,-0.013000000000000012,1.3295069330029476
2014年6月,99.0,泉州,2,2,2014-06-01,-0.010000000000000009,1.347018169202581
2014年5月,99.9,泉州,2,2,2014-05-01,-0.0009999999999998899,1.3606244133359404
2014年4月,100.0,泉州,2,2,2014-04-01,0.0,1.361986399735676
2014年3月,100.1,泉州,2,2,2014-03-01,0.0009999999999998899,1.361986399735676
2014年2月,100.6,泉州,2,2,2014-02-01,0.006000000000000005,1.3606257739617145
2014年1月,100.5,泉州,2,2,2014-01-01,0.004999999999999893,1.3525107097034934
2013年12月,100.6,泉州,2,2,2013-12-01,0.006000000000000005,1.3457818006999935
2013年11月,100.4,泉州,2,2,2013-11-01,0.0040000000000000036,1.3377552690854806
2013年10月,100.5,泉州,2,2,2013-10-01,0.004999999999999893,1.3324255668182077
2013年9月,101.2,泉州,2,2,2013-09-01,0.01200000000000001,1.3257965838987142
2013年8月,100.5,泉州,2,2,2013-08-01,0.004999999999999893,1.3100756757892433
2013年7月,101.0,泉州,2,2,2013-07-01,0.010000000000000009,1.3035578863574562
2013年6月,100.4,泉州,2,2,2013-06-01,0.0040000000000000036,1.2906513726311448
2013年5月,100.7,泉州,2,2,2013-05-01,0.007000000000000117,1.285509335289985
2013年4月,101.5,泉州,2,2,2013-04-01,0.014999999999999902,1.2765733220357347
2013年3月,100.0,泉州,2,2,2013-03-01,0.0,1.2577077064391475
2013年2月,100.7,泉州,2,2,2013-02-01,0.007000000000000117,1.2577077064391475
2013年1月,100.6,泉州,2,2,2013-01-01,0.006000000000000005,1.2489649517767105
2012年12月,100.1,泉州,2,2,2012-12-01,0.0009999999999998899,1.2415158566368891
2012年11月,99.9,泉州,2,2,2012-11-01,-0.0009999999999998899,1.2402755810558335
2012年10月,100.0,泉州,2,2,2012-10-01,0.0,1.2415170981539874
2012年9月,99.9,泉州,2,2,2012-09-01,-0.0009999999999998899,1.2415170981539874
2012年8月,99.9,泉州,2,2,2012-08-01,-0.0009999999999998899,1.2427598580119992
2012年7月,100.3,泉州,2,2,2012-07-01,0.0029999999999998916,1.244003861873873
2012年6月,99.9,泉州,2,2,2012-06-01,-0.0009999999999998899,1.240283012835367
2012年5月,99.8,泉州,2,2,2012-05-01,-0.0020000000000000018,1.2415245373727397
2012年4月,99.8,泉州,2,2,2012-04-01,-0.0020000000000000018,1.2440125624977352
2012年3月,99.7,泉州,2,2,2012-03-01,-0.0030000000000000027,1.2465055736450252
2012年2月,99.9,泉州,2,2,2012-02-01,-0.0009999999999998899,1.2502563426730444
2012年1月,99.9,泉州,2,2,2012-01-01,-0.0009999999999998899,1.251507850523568
2011年12月,100.0,泉州,2,2,2011-12-01,0.0,1.2527606111347025
2011年11月,99.9,泉州,2,2,2011-11-01,-0.0009999999999998899,1.2527606111347025
2011年10月,100.0,泉州,2,2,2011-10-01,0.0,1.2540146257604627
2011年9月,100.1,泉州,2,2,2011-09-01,0.0009999999999998899,1.2540146257604627
2011年8月,100.0,泉州,2,2,2011-08-01,0.0,1.2527618638965663
2011年7月,100.1,泉州,2,2,2011-07-01,0.0009999999999998899,1.2527618638965663
2011年6月,100.0,泉州,2,2,2011-06-01,0.0,1.2515103535430234
